"TransID","Date","CustomerID","ProductID"
1,2022-05-01,4147,2
2,2022-05-01,3065,2
3,2022-05-01,4078,1
4,2022-05-01,4850,1
5,2022-05-01,4806,4
6,2022-05-01,481,3
7,2022-05-01,3103,1
8,2022-05-01,419,2
9,2022-05-01,2549,1
10,2022-05-01,3160,2
11,2022-05-01,4169,1
12,2022-05-01,4106,1
13,2022-05-01,3081,1
14,2022-05-01,316,4
15,2022-05-01,4116,2
16,2022-05-01,4758,2
17,2022-05-01,4439,2
18,2022-05-01,263,3
19,2022-05-01,2993,1
20,2022-05-02,933,3
21,2022-05-02,2627,1
22,2022-05-02,2380,2
23,2022-05-02,272,1
24,2022-05-02,531,3
25,2022-05-02,4510,1
26,2022-05-02,1703,1
27,2022-05-02,1509,2
28,2022-05-02,120,2
29,2022-05-02,4974,4
30,2022-05-02,3615,2
31,2022-05-02,4711,1
32,2022-05-02,809,2
33,2022-05-02,315,1
34,2022-05-02,4320,4
35,2022-05-02,2172,4
36,2022-05-02,3651,4
37,2022-05-02,3040,1
38,2022-05-02,1938,1
39,2022-05-02,1286,1
40,2022-05-02,1167,2
41,2022-05-03,2025,1
42,2022-05-03,1971,3
43,2022-05-03,1765,1
44,2022-05-03,4629,2
45,2022-05-03,3366,2
46,2022-05-03,2426,2
47,2022-05-03,1566,4
48,2022-05-03,449,3
49,2022-05-03,2281,5
50,2022-05-03,1831,3
51,2022-05-03,4050,3
52,2022-05-03,4399,4
53,2022-05-03,4388,1
54,2022-05-03,4320,4
55,2022-05-03,4632,4
56,2022-05-03,3765,1
57,2022-05-03,4849,2
58,2022-05-03,410,3
59,2022-05-03,1714,2
60,2022-05-03,3883,3
61,2022-05-03,4366,2
62,2022-05-04,804,3
63,2022-05-04,1858,2
64,2022-05-04,2446,4
65,2022-05-04,4062,1
66,2022-05-04,3638,1
67,2022-05-04,1969,3
68,2022-05-04,1934,4
69,2022-05-04,4384,3
70,2022-05-04,1839,1
71,2022-05-04,943,2
72,2022-05-04,2107,2
73,2022-05-04,2440,2
74,2022-05-04,4324,2
75,2022-05-04,4679,1
76,2022-05-04,4965,1
77,2022-05-04,4500,4
78,2022-05-04,4307,2
79,2022-05-05,1348,1
80,2022-05-05,4030,2
81,2022-05-05,1888,3
82,2022-05-05,4861,2
83,2022-05-05,4094,1
84,2022-05-05,981,1
85,2022-05-05,1344,2
86,2022-05-05,1683,3
87,2022-05-05,4327,1
88,2022-05-05,1389,2
89,2022-05-06,149,1
90,2022-05-06,1110,3
91,2022-05-06,3927,4
92,2022-05-06,106,1
93,2022-05-06,4758,1
94,2022-05-06,2666,1
95,2022-05-06,654,1
96,2022-05-06,4240,3
97,2022-05-06,720,2
98,2022-05-06,2779,2
99,2022-05-06,3986,3
100,2022-05-06,4727,2
101,2022-05-06,4027,1
102,2022-05-06,583,2
103,2022-05-06,4466,1
104,2022-05-06,550,2
105,2022-05-06,4150,3
106,2022-05-06,2066,1
107,2022-05-07,230,1
108,2022-05-07,1668,2
109,2022-05-07,65,3
110,2022-05-07,4381,2
111,2022-05-07,2338,2
112,2022-05-07,2760,1
113,2022-05-07,4282,5
114,2022-05-07,233,2
115,2022-05-07,221,1
116,2022-05-07,4863,2
117,2022-05-07,4126,4
118,2022-05-07,442,2
119,2022-05-07,4051,1
120,2022-05-07,2061,4
121,2022-05-07,3623,1
122,2022-05-07,495,1
123,2022-05-07,4699,1
124,2022-05-07,978,1
125,2022-05-07,923,2
126,2022-05-07,1401,3
127,2022-05-07,1016,4
128,2022-05-07,4725,1
129,2022-05-07,2709,1
130,2022-05-07,4150,1
131,2022-05-07,139,4
132,2022-05-07,4766,2
133,2022-05-07,2249,1
134,2022-05-07,2205,2
135,2022-05-08,1792,2
136,2022-05-08,746,1
137,2022-05-08,1075,4
138,2022-05-08,2009,2
139,2022-05-08,294,4
140,2022-05-08,3610,1
141,2022-05-08,2824,1
142,2022-05-08,450,3
143,2022-05-08,1373,4
144,2022-05-08,338,1
145,2022-05-08,4199,3
146,2022-05-08,245,1
147,2022-05-08,1624,1
148,2022-05-08,2069,1
149,2022-05-08,166,1
150,2022-05-08,4620,1
151,2022-05-08,1612,1
152,2022-05-08,4223,2
153,2022-05-08,9,2
154,2022-05-08,4281,1
155,2022-05-08,2099,2
156,2022-05-08,1405,2
157,2022-05-08,2006,5
158,2022-05-08,4343,2
159,2022-05-08,563,1
160,2022-05-08,4150,2
161,2022-05-08,4137,2
162,2022-05-09,3895,4
163,2022-05-09,2986,1
164,2022-05-09,2379,2
165,2022-05-09,272,1
166,2022-05-09,669,2
167,2022-05-09,1636,1
168,2022-05-09,2049,3
169,2022-05-09,3277,2
170,2022-05-09,2061,2
171,2022-05-09,1887,1
172,2022-05-09,791,3
173,2022-05-09,3332,2
174,2022-05-09,4494,2
175,2022-05-09,2660,2
176,2022-05-09,2119,2
177,2022-05-10,2212,1
178,2022-05-10,2056,1
179,2022-05-10,3578,3
180,2022-05-10,4048,2
181,2022-05-10,1656,1
182,2022-05-10,2529,2
183,2022-05-10,1950,1
184,2022-05-10,4505,2
185,2022-05-10,300,2
186,2022-05-10,2590,2
187,2022-05-10,3967,2
188,2022-05-10,672,2
189,2022-05-10,843,4
190,2022-05-10,2107,2
191,2022-05-10,1570,2
192,2022-05-10,4943,2
193,2022-05-10,420,2
194,2022-05-10,4744,1
195,2022-05-10,3345,2
196,2022-05-10,314,2
197,2022-05-10,2504,1
198,2022-05-10,3145,3
199,2022-05-11,2527,1
200,2022-05-11,3157,3
201,2022-05-11,4773,3
202,2022-05-11,1273,1
203,2022-05-11,3330,2
204,2022-05-11,4542,3
205,2022-05-11,317,1
206,2022-05-11,3355,1
207,2022-05-11,2995,3
208,2022-05-11,4458,1
209,2022-05-11,2959,3
210,2022-05-11,971,2
211,2022-05-11,2982,2
212,2022-05-11,1253,2
213,2022-05-11,4640,3
214,2022-05-11,3819,2
215,2022-05-11,1911,1
216,2022-05-12,473,4
217,2022-05-12,2362,4
218,2022-05-12,4556,2
219,2022-05-12,3153,1
220,2022-05-12,2337,1
221,2022-05-12,3070,1
222,2022-05-12,436,2
223,2022-05-12,980,2
224,2022-05-12,2696,1
225,2022-05-12,1203,2
226,2022-05-12,1973,1
227,2022-05-12,2634,1
228,2022-05-12,4786,2
229,2022-05-13,2778,2
230,2022-05-13,4190,1
231,2022-05-13,2637,3
232,2022-05-13,605,1
233,2022-05-13,2150,2
234,2022-05-13,1825,4
235,2022-05-13,4519,3
236,2022-05-13,4320,1
237,2022-05-13,1036,3
238,2022-05-13,469,2
239,2022-05-13,3736,2
240,2022-05-13,1512,1
241,2022-05-13,2748,3
242,2022-05-13,3858,2
243,2022-05-13,2425,2
244,2022-05-14,563,2
245,2022-05-14,3040,1
246,2022-05-14,3625,3
247,2022-05-14,933,1
248,2022-05-14,904,4
249,2022-05-14,2027,1
250,2022-05-14,1765,3
251,2022-05-14,2679,1
252,2022-05-14,1119,3
253,2022-05-14,4795,4
254,2022-05-14,2937,1
255,2022-05-14,1727,1
256,2022-05-14,2192,1
257,2022-05-14,1912,3
258,2022-05-14,1869,1
259,2022-05-14,114,1
260,2022-05-14,387,1
261,2022-05-14,1163,2
262,2022-05-14,1071,4
263,2022-05-14,4064,2
264,2022-05-14,271,1
265,2022-05-15,4046,1
266,2022-05-15,1492,1
267,2022-05-15,1479,4
268,2022-05-15,2695,1
269,2022-05-15,3666,3
270,2022-05-15,4191,2
271,2022-05-15,4850,1
272,2022-05-15,4387,3
273,2022-05-15,320,3
274,2022-05-15,4685,2
275,2022-05-15,4491,2
276,2022-05-15,3514,1
277,2022-05-15,3876,3
278,2022-05-15,2193,1
279,2022-05-15,320,4
280,2022-05-15,1114,1
281,2022-05-15,2675,2
282,2022-05-15,1304,1
283,2022-05-15,2088,2
284,2022-05-15,4586,1
285,2022-05-15,175,1
286,2022-05-15,1097,2
287,2022-05-15,2739,4
288,2022-05-15,4657,2
289,2022-05-16,408,2
290,2022-05-16,4057,4
291,2022-05-16,277,3
292,2022-05-16,2880,2
293,2022-05-16,233,1
294,2022-05-16,4793,1
295,2022-05-16,470,4
296,2022-05-16,3893,3
297,2022-05-16,2334,3
298,2022-05-16,3811,4
299,2022-05-16,616,2
300,2022-05-16,2330,4
301,2022-05-16,345,2
302,2022-05-16,4730,1
303,2022-05-16,498,2
304,2022-05-16,907,2
305,2022-05-16,4427,1
306,2022-05-16,4861,2
307,2022-05-16,1455,1
308,2022-05-16,727,1
309,2022-05-17,1160,4
310,2022-05-17,4742,2
311,2022-05-17,1453,2
312,2022-05-17,941,2
313,2022-05-17,3545,4
314,2022-05-17,936,4
315,2022-05-17,2080,2
316,2022-05-17,2221,2
317,2022-05-17,27,1
318,2022-05-17,1103,1
319,2022-05-17,2606,5
320,2022-05-17,2672,4
321,2022-05-17,3252,3
322,2022-05-17,2422,2
323,2022-05-17,4279,3
324,2022-05-17,2316,2
325,2022-05-17,3388,3
326,2022-05-17,1354,1
327,2022-05-17,251,2
328,2022-05-18,2351,2
329,2022-05-18,3858,2
330,2022-05-18,4001,1
331,2022-05-18,2090,2
332,2022-05-18,802,1
333,2022-05-18,413,1
334,2022-05-18,2215,2
335,2022-05-18,2702,1
336,2022-05-18,515,3
337,2022-05-18,4843,2
338,2022-05-18,300,2
339,2022-05-18,838,1
340,2022-05-18,1744,1
341,2022-05-18,3514,1
342,2022-05-18,3754,1
343,2022-05-18,1263,4
344,2022-05-18,4811,3
345,2022-05-18,3791,1
346,2022-05-19,2540,2
347,2022-05-19,1856,2
348,2022-05-19,3257,1
349,2022-05-19,1245,2
350,2022-05-19,3667,1
351,2022-05-19,3221,4
352,2022-05-19,3668,3
353,2022-05-19,504,1
354,2022-05-19,4437,2
355,2022-05-19,4812,4
356,2022-05-19,2645,3
357,2022-05-19,3217,3
358,2022-05-19,4318,4
359,2022-05-19,459,3
360,2022-05-19,1953,4
361,2022-05-19,4959,1
362,2022-05-19,133,1
363,2022-05-19,4383,1
364,2022-05-19,3094,5
365,2022-05-20,4862,2
366,2022-05-20,4286,2
367,2022-05-20,4856,1
368,2022-05-20,2952,2
369,2022-05-20,235,3
370,2022-05-20,1597,3
371,2022-05-20,263,1
372,2022-05-20,3233,2
373,2022-05-20,3306,3
374,2022-05-20,4136,1
375,2022-05-20,1681,2
376,2022-05-20,2858,3
377,2022-05-20,3953,1
378,2022-05-20,1623,1
379,2022-05-20,2675,3
380,2022-05-20,2889,3
381,2022-05-20,924,1
382,2022-05-20,472,3
383,2022-05-20,1504,4
384,2022-05-21,4672,4
385,2022-05-21,570,4
386,2022-05-21,3275,4
387,2022-05-21,1135,2
388,2022-05-21,4872,3
389,2022-05-21,945,2
390,2022-05-21,2314,2
391,2022-05-21,3952,4
392,2022-05-21,4626,1
393,2022-05-21,404,2
394,2022-05-21,3785,2
395,2022-05-21,641,1
396,2022-05-21,998,2
397,2022-05-21,48,1
398,2022-05-21,1244,1
399,2022-05-21,1230,1
400,2022-05-21,757,4
401,2022-05-21,1770,2
